source,target,value
用户168,用户912,1212
用户947,用户774,2176
用户912,用户168,1197
用户629,用户891,654
用户316,用户915,431
用户915,用户718,81
用户891,用户629,368
用户912,用户356,302
用户214,用户915,7
用户629,用户214,34
用户356,用户912,414
用户214,用户912,50
用户718,用户915,38
用户915,用户356,10
用户168,用户356,307
用户214,用户629,59
用户356,用户586,98
用户416,用户356,99
用户586,用户356,157
用户416,用户168,118
用户774,用户947,2816
用户915,用户316,355
用户586,用户214,18
用户416,用户912,90
用户356,用户416,107
用户915,用户912,5
用户915,用户168,1
用户915,用户629,6
用户629,用户915,12
用户586,用户718,12
用户586,用户416,258
用户718,用户586,4
用户912,用户915,2
用户718,用户629,2
用户629,用户356,1
用户356,用户168,325
用户356,用户629,1
用户416,用户629,18
用户416,用户586,144
用户586,用户168,88
用户168,用户586,55
用户168,用户416,111
用户586,用户912,58
用户214,用户987,26
用户135,用户214,15
用户891,用户214,6
用户416,用户214,15
用户214,用户416,5
用户718,用户977,6
用户912,用户214,100
用户912,用户416,91
用户718,用户356,25
用户356,用户718,36
用户214,用户891,12
用户586,用户947,25
用户214,用户746,59
用户135,用户915,7
用户135,用户718,21
用户316,用户214,70
用户214,用户316,52
用户987,用户214,4
用户746,用户214,99
用户401,用户98,344
用户746,用户135,34
用户746,用户915,21
用户746,用户718,49
用户135,用户746,26
用户98,用户401,240
用户718,用户746,11
用户915,用户586,23
用户915,用户214,8
用户912,用户586,37
用户629,用户416,16
用户915,用户746,5
用户98,用户746,1
用户214,用户356,17
用户316,用户629,32
用户629,用户316,36
用户316,用户987,4
用户718,用户135,14
用户214,用户178,32
用户586,用户915,29
用户356,用户915,6
用户915,用户891,9
用户135,用户178,4
用户987,用户746,1
用户316,用户178,3
用户987,用户135,2
用户135,用户987,1
用户178,用户915,4
用户356,用户214,9
用户718,用户214,2
用户316,用户416,4
用户416,用户316,1
用户987,用户629,1
用户316,用户718,1
用户214,用户135,1
用户214,用户586,15
用户178,用户718,4
用户178,用户977,4
用户168,用户214,1
用户947,用户586,4
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户629,用户178,13
用户178,用户629,21
用户214,用户168,4
用户416,用户718,1
用户178,用户214,11
用户718,用户178,8
用户214,用户718,3
用户746,用户629,1
用户746,用户316,1
用户977,用户178,4
用户912,用户891,1
用户891,用户915,3
用户915,用户178,3
用户977,用户629,2
用户629,用户977,1
用户915,用户135,13
用户135,用户629,1
用户168,用户316,1
用户135,用户586,3
用户586,用户135,3
用户316,用户586,2
用户586,用户316,1
用户316,用户135,1
用户135,用户316,1
用户178,用户356,1
用户746,用户912,3
用户168,用户746,1
用户912,用户746,5
用户356,用户746,1
