source,target,value
用户168,用户912,1212
用户947,用户774,2176
用户912,用户168,1197
用户316,用户915,431
用户915,用户718,81
用户912,用户356,302
用户356,用户912,414
用户718,用户915,38
用户915,用户356,10
用户168,用户356,307
用户356,用户586,98
用户586,用户356,157
用户774,用户947,2816
用户915,用户316,355
用户915,用户912,5
用户915,用户168,1
用户915,用户629,6
用户629,用户915,12
用户586,用户718,12
用户718,用户586,4
用户912,用户915,2
用户718,用户629,2
用户629,用户356,1
用户356,用户168,325
用户356,用户629,1
用户586,用户168,88
用户168,用户586,55
用户586,用户912,58
用户718,用户356,25
用户356,用户718,36
用户586,用户947,25
用户135,用户915,7
用户135,用户718,21
用户746,用户135,34
用户746,用户915,21
用户746,用户718,49
用户135,用户746,26
用户718,用户746,11
用户915,用户586,23
用户912,用户586,37
用户915,用户746,5
用户98,用户746,1
用户316,用户629,32
用户629,用户316,36
用户316,用户987,4
用户718,用户135,14
用户586,用户915,29
用户356,用户915,6
用户135,用户178,4
用户987,用户746,1
用户316,用户178,3
用户987,用户135,2
用户135,用户987,1
用户178,用户915,4
用户987,用户629,1
用户316,用户718,1
用户178,用户718,4
用户947,用户586,4
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户629,用户178,13
用户178,用户629,21
用户718,用户178,8
用户746,用户629,1
用户746,用户316,1
用户915,用户178,3
用户915,用户135,13
用户135,用户629,1
用户168,用户316,1
用户135,用户586,3
用户586,用户135,3
用户316,用户586,2
用户586,用户316,1
用户316,用户135,1
用户135,用户316,1
用户178,用户356,1
用户746,用户912,3
用户168,用户746,1
用户912,用户746,5
用户356,用户746,1
