source,target,value
用户168,用户912,1212
用户912,用户168,1197
用户912,用户356,302
用户356,用户912,414
用户915,用户356,10
用户168,用户356,307
用户356,用户586,98
用户586,用户356,157
用户915,用户912,5
用户915,用户168,1
用户915,用户629,6
用户629,用户915,12
用户912,用户915,2
用户629,用户356,1
用户356,用户168,325
用户356,用户629,1
用户586,用户168,88
用户168,用户586,55
用户586,用户912,58
用户746,用户915,21
用户915,用户586,23
用户912,用户586,37
用户915,用户746,5
用户98,用户746,1
用户586,用户915,29
用户356,用户915,6
用户987,用户746,1
用户178,用户915,4
用户987,用户629,1
用户746,用户586,6
用户746,用户356,6
用户586,用户746,2
用户629,用户178,13
用户178,用户629,21
用户746,用户629,1
用户915,用户178,3
用户178,用户356,1
用户746,用户912,3
用户168,用户746,1
用户912,用户746,5
用户356,用户746,1
