source,target,value
用户168,用户472,668
用户168,用户912,1212
用户947,用户774,2176
用户428,用户915,503
用户912,用户168,1197
用户912,用户472,273
用户454,用户401,349
用户530,用户629,506
用户530,用户891,400
用户718,用户61,395
用户540,用户987,72
用户629,用户530,610
用户629,用户891,654
用户280,用户629,166
用户987,用户540,397
用户316,用户915,431
用户915,用户428,539
用户915,用户718,81
用户280,用户915,130
用户280,用户530,181
用户891,用户629,368
用户912,用户356,302
用户61,用户718,534
用户356,用户472,753
用户472,用户356,258
用户165,用户401,451
用户401,用户454,420
用户629,用户280,380
用户978,用户629,24
用户629,用户978,35
用户135,用户540,5
用户214,用户428,16
用户214,用户915,7
用户977,用户418,651
用户418,用户977,331
用户629,用户214,34
用户356,用户912,414
用户472,用户168,386
用户214,用户912,50
用户718,用户915,38
用户586,用户267,395
用户915,用户530,89
用户428,用户316,250
用户915,用户356,10
用户915,用户280,35
用户168,用户356,307
用户267,用户629,42
用户267,用户891,171
用户891,用户267,211
用户472,用户912,145
用户214,用户629,59
用户356,用户586,98
用户416,用户356,99
用户586,用户356,157
用户168,用户790,174
用户790,用户168,192
用户790,用户912,9
用户416,用户168,118
用户774,用户947,2816
用户530,用户915,54
用户530,用户280,79
用户891,用户530,296
用户61,用户356,78
用户530,用户267,81
用户915,用户316,355
用户267,用户586,191
用户401,用户165,520
用户472,用户416,12
用户98,用户454,193
用户316,用户428,285
用户915,用户165,49
用户586,用户214,18
用户267,用户530,40
用户718,用户502,58
用户416,用户912,90
用户356,用户416,107
用户502,用户718,41
用户915,用户912,5
用户915,用户168,1
用户915,用户472,1
用户915,用户629,6
用户530,用户718,6
用户629,用户915,12
用户586,用户718,12
用户586,用户416,258
用户718,用户586,4
用户718,用户530,6
用户912,用户915,2
用户165,用户915,15
用户280,用户718,2
用户891,用户280,22
用户267,用户135,2
用户629,用户267,25
用户135,用户267,3
用户718,用户629,2
用户629,用户356,1
用户356,用户168,325
用户454,用户98,139
用户718,用户280,2
用户356,用户629,1
用户416,用户629,18
用户790,用户267,14
用户267,用户790,15
用户416,用户586,144
用户915,用户61,24
用户428,用户61,16
用户61,用户428,22
用户61,用户915,46
用户586,用户168,88
用户168,用户586,55
用户168,用户416,111
用户502,用户915,21
用户165,用户428,24
用户165,用户316,375
用户586,用户912,58
用户280,用户502,22
用户502,用户280,66
用户214,用户987,26
用户214,用户530,34
用户135,用户214,15
用户891,用户214,6
用户416,用户454,8
用户454,用户416,5
用户428,用户267,6
用户416,用户214,15
用户214,用户416,5
用户718,用户977,6
用户912,用户214,100
用户416,用户267,6
用户629,用户428,3
用户428,用户629,4
用户316,用户165,176
用户912,用户416,91
用户428,用户214,19
用户718,用户356,25
用户356,用户718,36
用户506,用户718,2
用户165,用户267,4
用户267,用户165,6
用户214,用户502,25
用户214,用户891,12
用户586,用户947,25
用户586,用户165,23
用户214,用户746,59
用户428,用户165,16
用户135,用户915,7
用户135,用户530,3
用户530,用户135,6
用户135,用户718,21
用户135,用户502,2
用户316,用户214,70
用户214,用户316,52
用户165,用户586,3
用户987,用户214,4
用户214,用户540,5
用户746,用户214,99
用户540,用户214,5
用户502,用户214,24
用户401,用户98,344
用户746,用户502,56
用户746,用户135,34
用户746,用户915,21
用户746,用户718,49
用户746,用户530,53
用户356,用户61,58
用户135,用户746,26
用户502,用户135,1
用户98,用户401,240
用户356,用户502,11
用户915,用户502,22
用户502,用户530,14
用户502,用户356,1
用户718,用户746,11
用户530,用户586,11
用户530,用户356,7
用户915,用户586,23
用户280,用户891,31
用户915,用户214,8
用户790,用户891,1
用户454,用户165,4
用户135,用户61,29
用户61,用户135,35
用户61,用户214,4
用户502,用户746,2
用户165,用户629,2
用户416,用户472,30
用户912,用户586,37
用户280,用户978,9
用户978,用户280,17
用户267,用户428,5
用户168,用户267,1
用户178,用户502,670
用户629,用户416,16
用户915,用户746,5
用户98,用户746,1
用户790,用户61,1
用户502,用户178,304
用户214,用户356,17
用户61,用户502,63
用户267,用户416,3
用户774,用户540,9
用户540,用户774,7
用户502,用户61,24
用户586,用户472,7
用户316,用户629,32
用户629,用户316,36
用户316,用户502,2
用户316,用户978,6
用户316,用户987,4
用户454,用户629,6
用户629,用户454,4
用户718,用户135,14
用户61,用户472,22
用户472,用户214,5
用户214,用户472,5
用户214,用户178,32
用户61,用户530,12
用户178,用户61,12
用户61,用户178,7
用户61,用户280,4
用户280,用户267,5
用户267,用户280,4
用户586,用户530,12
用户356,用户530,5
用户586,用户915,29
用户356,用户915,6
用户915,用户891,9
用户530,用户61,8
用户454,用户428,3
用户135,用户178,4
用户987,用户746,1
用户316,用户178,3
用户987,用户135,2
用户135,用户987,1
用户506,用户502,4
